,price
2025-01-11 00:30:00,10.664
2025-01-11 00:45:00,10.664
2025-01-11 01:00:00,9.899
2025-01-11 01:15:00,9.899
2025-01-11 01:30:00,9.899
2025-01-11 01:45:00,9.899
2025-01-11 02:00:00,9.571
2025-01-11 02:15:00,9.571
2025-01-11 02:30:00,9.571
2025-01-11 02:45:00,9.571
2025-01-11 03:00:00,8.945
2025-01-11 03:15:00,8.945
2025-01-11 03:30:00,8.945
2025-01-11 03:45:00,8.945
2025-01-11 04:00:00,8.835
2025-01-11 04:15:00,8.835
2025-01-11 04:30:00,8.835
2025-01-11 04:45:00,8.835
2025-01-11 05:00:00,8.84
2025-01-11 05:15:00,8.84
2025-01-11 05:30:00,8.84
2025-01-11 05:45:00,8.84
2025-01-11 06:00:00,8.813
2025-01-11 06:15:00,8.813
2025-01-11 06:30:00,8.813
2025-01-11 06:45:00,8.813
2025-01-11 07:00:00,9.468
2025-01-11 07:15:00,9.468
2025-01-11 07:30:00,9.468
2025-01-11 07:45:00,9.468
2025-01-11 08:00:00,10.765
2025-01-11 08:15:00,10.765
2025-01-11 08:30:00,10.765
2025-01-11 08:45:00,10.765
2025-01-11 09:00:00,10.314
2025-01-11 09:15:00,10.314
2025-01-11 09:30:00,10.314
2025-01-11 09:45:00,10.314
2025-01-11 10:00:00,10.113
2025-01-11 10:15:00,10.113
2025-01-11 10:30:00,10.113
2025-01-11 10:45:00,10.113
2025-01-11 11:00:00,9.956
2025-01-11 11:15:00,9.956
2025-01-11 11:30:00,9.956
2025-01-11 11:45:00,9.956
2025-01-11 12:00:00,9.674
2025-01-11 12:15:00,9.674
2025-01-11 12:30:00,9.674
2025-01-11 12:45:00,9.674
2025-01-11 13:00:00,9.315
2025-01-11 13:15:00,9.315
2025-01-11 13:30:00,9.315
2025-01-11 13:45:00,9.315
2025-01-11 14:00:00,9.49
2025-01-11 14:15:00,9.49
2025-01-11 14:30:00,9.49
2025-01-11 14:45:00,9.49
2025-01-11 15:00:00,10.489
2025-01-11 15:15:00,10.489
2025-01-11 15:30:00,10.489
2025-01-11 15:45:00,10.489
2025-01-11 16:00:00,11.212
2025-01-11 16:15:00,11.212
2025-01-11 16:30:00,11.212
2025-01-11 16:45:00,11.212
2025-01-11 17:00:00,11.98
2025-01-11 17:15:00,11.98
2025-01-11 17:30:00,11.98
2025-01-11 17:45:00,11.98
2025-01-11 18:00:00,12.234
2025-01-11 18:15:00,12.234
2025-01-11 18:30:00,12.234
2025-01-11 18:45:00,12.234
2025-01-11 19:00:00,11.485
2025-01-11 19:15:00,11.485
2025-01-11 19:30:00,11.485
2025-01-11 19:45:00,11.485
2025-01-11 20:00:00,11.119
2025-01-11 20:15:00,11.119
2025-01-11 20:30:00,11.119
2025-01-11 20:45:00,11.119
2025-01-11 21:00:00,10.48
2025-01-11 21:15:00,10.48
2025-01-11 21:30:00,10.48
2025-01-11 21:45:00,10.48
2025-01-11 22:00:00,10.307
2025-01-11 22:15:00,10.307
2025-01-11 22:30:00,10.307
2025-01-11 22:45:00,10.307
2025-01-11 23:00:00,10.569
2025-01-11 23:15:00,10.569
2025-01-11 23:30:00,10.569
2025-01-11 23:45:00,10.569
2025-01-12 00:00:00,8.358
2025-01-12 00:15:00,8.358
2025-01-12 00:30:00,8.358
2025-01-12 00:45:00,8.358
2025-01-12 01:00:00,8.379
2025-01-12 01:15:00,8.379
2025-01-12 01:30:00,8.379
2025-01-12 01:45:00,8.379
2025-01-12 02:00:00,8.675
2025-01-12 02:15:00,8.675
2025-01-12 02:30:00,8.675
2025-01-12 02:45:00,8.675
2025-01-12 03:00:00,8.42
2025-01-12 03:15:00,8.42
2025-01-12 03:30:00,8.42
2025-01-12 03:45:00,8.42
2025-01-12 04:00:00,8.5
2025-01-12 04:15:00,8.5
2025-01-12 04:30:00,8.5
2025-01-12 04:45:00,8.5
2025-01-12 05:00:00,8.375
2025-01-12 05:15:00,8.375
2025-01-12 05:30:00,8.375
2025-01-12 05:45:00,8.375
2025-01-12 06:00:00,8.59
2025-01-12 06:15:00,8.59
